id,Neighborhood,YearBuilt,Price
167,Rural,1982,235810.2236
168,Suburb,2010,357765.1172
169,Rural,1978,216771.36
170,Rural,2012,102580.4984
171,Urban,1986,208774.1423
172,Suburb,2005,302454.6401
173,Urban,1965,208558.7817
174,Urban,2005,276434.5399
175,Suburb,1991,220786.712
176,Urban,1973,354268.4752
177,Suburb,2018,142420.9723
178,Suburb,1980,299146.5954
179,Urban,1960,321647.4527
180,Suburb,1951,216976.9081
181,Suburb,2020,243179.7034
182,Suburb,1984,184210.7736
183,Suburb,2011,175779.5682
184,Urban,2003,162271.0864
185,Rural,2018,240727.0397
186,Urban,2000,186900.9464
187,Rural,1958,208692.1498
188,Rural,1963,114333.6939
189,Rural,2005,225281.3242
190,Suburb,1983,110852.4526
191,Rural,1950,206119.1817
192,Suburb,1987,292218.3734
193,Suburb,1966,209166.2973
194,Suburb,1965,283220.1087
195,Urban,1997,354538.8214
196,Rural,1999,290954.4918
197,Urban,2020,207377.5555
198,Suburb,1990,267934.0926
199,Urban,1993,235034.8998
200,Suburb,1964,246611.8831
201,Urban,2010,314867.6516
202,Suburb,1999,278092.7571
203,Suburb,2001,88443.38397
204,Urban,2001,235396.4545
205,Suburb,1985,280503.8129
206,Rural,1982,273072.3373
207,Urban,1994,252666.8483
208,Urban,1951,133914.4068
209,Suburb,1950,142717.8302
210,Urban,2019,266197.0444
211,Rural,1996,245433.6945
212,Urban,2013,177796.403
213,Rural,1967,226582.2743
214,Urban,2003,170745.4653
215,Rural,1984,194059.3707
216,Urban,2008,347187.4093
217,Rural,1985,345978.9789
218,Suburb,1975,323981.508
219,Urban,1994,185909.9016
220,Urban,2018,231642.4153
221,Rural,1979,181472.0115
222,Urban,1982,247683.3818
223,Rural,1972,174119.7797
224,Suburb,1970,249931.3819
225,Rural,2012,352084.0473
226,Urban,2019,356256.9103
227,Suburb,2017,115738.6024
228,Rural,1985,265399.2764
229,Rural,1986,205543.4525
230,Suburb,1950,248155.8717
231,Urban,1975,318796.3968
232,Urban,1991,254479.256
233,Urban,1989,248782.2169
234,Suburb,2002,320922.1762
235,Rural,2011,265274.004
236,Suburb,1993,283301.9362
237,Rural,1985,291195.6713
238,Suburb,1953,240277.0098
239,Rural,1970,316708.5954
240,Rural,1966,267724.6993
241,Suburb,1965,52033.75929
242,Suburb,1990,157260.9835
243,Suburb,2004,349887.3872
244,Rural,2006,302581.5244
245,Suburb,2015,267740.4347
246,Rural,1987,296942.7544
247,Rural,2005,211665.6222
248,Suburb,1986,240462.6778
249,Urban,1999,221900.7731
250,Urban,2004,337510.5084
251,Rural,1950,351438.5468
252,Rural,2014,207718.7412
253,Urban,2014,187379.3901
254,Rural,1993,325104.8264
255,Urban,1961,234064.5137
256,Rural,2002,168976.4954
257,Rural,2010,72491.39026
258,Suburb,1962,397825.3364
259,Urban,1991,224680.0524
260,Rural,1995,297609.7185
261,Urban,1991,211357.5631
262,Suburb,1965,191156.3841
263,Urban,1993,198444.2855
264,Rural,2019,227602.8452
265,Urban,1965,227374.5843
266,Suburb,1971,311492.2466
267,Urban,1984,341035.6518
268,Urban,1998,329215.4127
269,Urban,2020,189722.895
270,Urban,2013,315304.2483
271,Rural,1980,229019.4795
272,Urban,1950,218041.2171
273,Suburb,1974,256367.8643
274,Urban,1969,427589.087
275,Suburb,1957,161116.8187
276,Suburb,2013,182494.886
277,Suburb,1965,276165.9051
278,Suburb,2004,314516.613
279,Rural,1975,272012.2652
280,Urban,2014,342249.5423
281,Urban,1977,258023.511
282,Rural,1995,115459.882
283,Urban,2003,240419.9739
284,Rural,2003,388951.7892
285,Suburb,2021,250119.2129
286,Urban,1998,210586.9765
287,Suburb,1995,234243.6244
288,Urban,1950,69293.96649
289,Urban,1993,163837.6824
290,Urban,1953,252127.9863
291,Suburb,1980,117989.3568
292,Rural,1964,313948.4453
293,Suburb,1950,254919.2752
294,Rural,2021,197521.8272
295,Urban,1955,198494.0403
296,Urban,1976,152204.7559
297,Urban,1975,308529.3077
298,Urban,2015,308854.901
299,Suburb,1962,246860.55
300,Rural,2020,225867.2386
301,Rural,1983,249678.2289
302,Rural,1982,108636.4752
303,Urban,1989,299818.5608
304,Suburb,1992,290094.597
305,Urban,1956,272077.8727
306,Rural,1988,130941.4829
307,Suburb,2015,241849.2415
308,Suburb,1985,206273.3001
309,Urban,2013,155086.4599
310,Suburb,1953,169742.8703
311,Suburb,1971,148324.4032
312,Suburb,2020,184460.0434
313,Urban,1953,138095.4799
314,Urban,2013,205414.9105
315,Suburb,1971,183265.399
316,Urban,2011,284616.4673
317,Suburb,1989,181947.6429
318,Rural,1969,284003.7694
319,Rural,1958,90959.78933
320,Suburb,2014,198755.1464
321,Rural,1972,370459.829
322,Rural,1984,348379.2665
323,Rural,2008,270704.1541
324,Suburb,1963,168931.8286
325,Urban,1993,189126.0514
326,Suburb,1971,218168.7081
327,Suburb,1977,199220.1955
328,Urban,2008,129960.0168
329,Suburb,1996,281507.745
330,Suburb,2017,169378.7848
331,Suburb,2019,248599.1077
332,Rural,1966,411678.0284
333,Suburb,1980,119032.883
334,Suburb,1963,230075.0498
335,Urban,1998,122604.9562
336,Rural,2016,296998.8381
337,Rural,1970,109470.1427
338,Suburb,1962,246212.1973
339,Rural,1999,310583.0759
340,Rural,2017,233756.8864
341,Urban,1961,100102.2252
342,Urban,1997,199324.8407
343,Rural,2013,331026.5964
344,Urban,1964,231041.3484
345,Suburb,1965,333530.0634
346,Urban,2021,61092.66123
347,Suburb,1999,205778.3124
348,Urban,1990,384570.7365
349,Rural,1953,339772.9527
350,Suburb,1969,186745.1296
351,Urban,1957,185559.0802
352,Urban,2017,213894.3146
353,Suburb,1996,180978.0157
354,Urban,1982,243011.5747
355,Rural,1954,265075.9482
356,Suburb,2017,163315.127
357,Rural,1990,384847.0499
358,Suburb,2010,190479.1989
359,Suburb,1973,204129.2143
360,Suburb,1976,249930.1176
361,Suburb,1978,372750.4748
362,Rural,2016,189650.2011
363,Rural,1986,308299.3121
364,Suburb,2002,95784.07402
365,Suburb,1951,165456.1184
366,Rural,1986,236531.6655
367,Suburb,2021,212190.7549
368,Suburb,2014,298280.3607
369,Rural,1997,172765.2509
370,Rural,1998,151917.3536
371,Rural,1996,196497.0693
372,Urban,1953,212603.1702
373,Suburb,1952,205827.9137
374,Rural,1985,350608.1323
375,Suburb,1955,64055.91438
376,Urban,1983,202645.4687
377,Rural,2001,215636.3058
378,Rural,1980,210336.9815
379,Suburb,1983,161063.7361
380,Suburb,1991,162732.681
381,Rural,1997,283190.3906
382,Rural,2005,257018.5571
383,Suburb,1967,161315.0888
384,Suburb,1963,171344.5126
385,Rural,2018,301758.3278
386,Urban,2007,186512.3187
387,Suburb,2019,147961.7399
388,Suburb,2005,96856.09323
389,Suburb,2002,241976.2417
390,Rural,2018,256546.8458
391,Rural,2009,245612.125
392,Rural,1981,192616.9107
393,Suburb,1996,234537.6253
394,Suburb,1971,266525.8016
395,Urban,1953,411274.8172
396,Rural,1974,241617.2738
397,Rural,2010,230463.8154
398,Suburb,1961,249885.947
399,Suburb,1980,320712.1739
400,Urban,1950,131536.1636
401,Suburb,2010,258681.6486
402,Suburb,1955,236721.5797
403,Suburb,1971,152417.9594
404,Urban,1961,277449.0164
405,Urban,1972,97639.6442
406,Urban,1984,68864.72804
407,Urban,1963,292602.0202
408,Urban,1979,163126.6346
409,Rural,1971,316117.1566
410,Suburb,1965,173591.5158
411,Urban,2020,245240.8693
412,Urban,1964,299136.081
413,Urban,1951,102620.9118
414,Urban,1971,174740.9101
415,Suburb,2012,303839.7622
416,Suburb,1964,255500.6503
417,Rural,1968,305226.148
418,Suburb,1970,174048.9196
419,Urban,1976,240369.9407
420,Urban,1968,310732.593
421,Urban,1975,125680.0817
422,Urban,1998,303253.7531
423,Suburb,2007,137931.9766
424,Suburb,2016,238181.4446
425,Rural,1974,299144.4834
426,Suburb,1971,340122.3587
427,Urban,1963,230193.1787
428,Urban,1958,300494.8966
429,Suburb,1971,267560.2688
430,Rural,1964,173748.309
431,Rural,1989,198112.8732
432,Suburb,2014,237224.4282
433,Suburb,2002,130383.6498
434,Suburb,1980,248587.2901
435,Urban,1959,268826.741
436,Suburb,1983,307426.1376
437,Suburb,1986,224293.9722
438,Rural,1962,335992.3788
439,Rural,1987,265649.0843
440,Urban,1994,218960.6472
441,Rural,1959,257512.5585
442,Rural,1971,86619.30466
443,Suburb,2010,48780.11213
444,Rural,1987,274896.2616
445,Rural,2007,181237.8317
446,Rural,1975,49052.37096
447,Rural,1998,182649.2383
448,Rural,2011,347942.0053
449,Rural,1958,31998.01568
450,Rural,2009,181103.2635
451,Rural,1979,172216.0833
452,Urban,1970,273262.8517
453,Suburb,1999,306987.0516
454,Rural,1978,172933.772
455,Suburb,1989,159685.4467
456,Rural,1966,244916.4658
457,Urban,2017,250927.6416
458,Rural,2013,86276.33242
459,Urban,1972,209029.9486
460,Rural,1956,267060.0308
461,Rural,1983,158867.8199
462,Suburb,1973,200254.7187
463,Rural,1956,197039.3949
464,Rural,1957,251427.1554
465,Urban,1952,298798.8575
466,Suburb,1953,209615.3838
467,Rural,2012,343628.2296
468,Suburb,2015,86742.69816
469,Suburb,2018,260504.8307
470,Rural,1959,267664.3312
471,Rural,2012,87137.89045
472,Rural,1986,217625.4427
473,Rural,2021,179619.6811
474,Rural,1952,304272.5428
475,Suburb,1978,180446.9392
476,Urban,2011,96810.15544
477,Suburb,1982,293526.3479
478,Rural,2009,333027.9076
479,Suburb,1991,261561.3314
480,Urban,2011,60826.53009
481,Suburb,1955,278442.1635
482,Rural,1998,123828.1036
483,Rural,2021,88586.0573
484,Rural,1992,134443.8975
485,Urban,1958,136925.1708
486,Rural,2000,234164.891
487,Rural,1963,150304.5494
488,Rural,1973,240050.496
489,Rural,2021,277542.7035
490,Suburb,1982,197241.2518
491,Rural,1978,101805.5981
492,Suburb,1951,197810.6223
493,Urban,2001,172279.0649
494,Suburb,1994,205236.2839
495,Suburb,1987,206408.5332
496,Suburb,1994,279439.9844
497,Suburb,1965,127174.7226
498,Suburb,1996,127458.039
499,Suburb,1974,356063.8292
500,Urban,2006,344787.6194
501,Rural,1968,153282.8516
502,Urban,1987,23125.99668
503,Suburb,2015,297939.7232
504,Suburb,1956,348536.6136
505,Suburb,1969,145096.7349
506,Urban,1953,316533.4622
507,Suburb,1964,273166.56
508,Urban,2013,343467.4139
509,Suburb,2006,258865.9613
510,Suburb,1999,197763.0653
511,Urban,1966,196431.1618
512,Urban,1965,192271.5714
513,Urban,1952,252805.9847
514,Urban,1994,20075.48609
515,Suburb,1993,225167.5423
516,Suburb,2011,333108.7015
517,Rural,1958,253462.8412
518,Suburb,2009,273921.2443
519,Suburb,2006,230500.4506
520,Suburb,2010,361696.081
521,Suburb,2013,319789.8466
522,Suburb,1966,174765.2567
523,Rural,2007,300718.8166
524,Urban,1996,261326.8509
525,Suburb,2001,363561.9094
526,Suburb,1967,251734.589
527,Urban,1986,280965.895
528,Urban,2019,110904.3256
529,Rural,1966,335743.3089
530,Rural,1952,276296.3369
531,Rural,1982,222212.1321
532,Urban,1956,221697.8157
533,Suburb,1951,223582.3849
534,Urban,1983,206212.7926
535,Suburb,1953,214945.5948
536,Urban,1998,152143.2966
537,Urban,1966,376480.3015
538,Urban,2020,135298.4457
539,Urban,1961,160232.4203
540,Suburb,1993,70855.37072
541,Suburb,1998,183736.727
542,Suburb,2018,388318.7211
543,Suburb,1966,165073.7156
544,Rural,1987,213210.0434
545,Rural,2005,140382.8723
546,Urban,2010,260495.0847
547,Suburb,1981,385304.7145
548,Suburb,2005,144254.7959
549,Urban,1972,277469.1074
550,Urban,2015,252361.1315
551,Urban,2016,256202.9962
552,Suburb,1954,139343.7275
553,Suburb,1972,246154.6873
554,Suburb,2000,218372.9302
555,Rural,1974,309839.6921
556,Urban,1973,219293.0106
557,Suburb,1979,203482.1889
558,Urban,2000,220036.0305
559,Rural,1979,365466.4528
560,Urban,2021,125013.1451
561,Suburb,1995,234126.8057
562,Urban,2006,213331.2023
563,Suburb,1978,91677.17431
564,Rural,2011,262434.5217
565,Rural,1978,184359.5381
566,Suburb,1986,323820.0406
567,Rural,1989,97808.59675
568,Urban,2004,298075.9524
569,Rural,1975,128702.1148
570,Rural,1976,129730.1974
571,Rural,2000,326637.4753
572,Rural,1971,241442.1438
573,Suburb,2014,259033.5696
574,Rural,1987,299103.3398
575,Suburb,1950,127303.8574
576,Suburb,1964,210318.9029
577,Suburb,1960,188936.218
578,Urban,2005,185380.1293
579,Urban,1987,294176.3398
580,Suburb,2003,198735.7641
581,Urban,1972,268807.8484
582,Rural,1986,65228.45166
583,Urban,2000,262087.5685
584,Rural,2010,255398.7488
585,Urban,1971,200902.121
586,Suburb,2015,237628.6476
587,Suburb,2004,201135.2861
588,Urban,2016,327202.4144
589,Rural,1975,313572.8518
590,Rural,1987,161735.0896
591,Suburb,1999,135186.9409
592,Rural,1972,206442.2525
593,Suburb,2002,176508.4751
594,Urban,1988,295895.5581
595,Urban,1972,215023.3833
596,Urban,2015,145269.2037
597,Suburb,1977,156946.2389
598,Urban,2009,246606.2725
599,Rural,2016,194238.864
600,Suburb,1959,281991.702
601,Rural,1983,258071.8801
602,Urban,1950,149913.0106
603,Suburb,1986,118571.5243
604,Suburb,2017,258490.7949
605,Suburb,2020,237178.0369
606,Urban,2016,283416.6118
607,Suburb,2007,234682.711
608,Suburb,1965,236267.0623
609,Urban,2013,220216.9713
610,Urban,1977,231805.2696
611,Rural,2019,293908.2937
612,Rural,1977,148823.0463
613,Rural,1967,317837.8614
614,Suburb,1992,311154.7319
615,Urban,1963,256000.1606
616,Rural,1971,215724.195
617,Rural,1963,249356.7367
618,Urban,1968,223423.0823
619,Suburb,1968,272864.801
620,Urban,1988,202344.3256
621,Urban,1982,228849.2336
622,Urban,1987,240983.242
623,Suburb,1981,289649.3015
624,Rural,1963,144200.2547
625,Rural,1972,257560.4742
626,Suburb,1975,273196.6207
627,Urban,1999,235009.5775
628,Urban,2018,166047.6906
629,Rural,2004,258771.5962
630,Rural,2016,96385.91828
631,Urban,1969,246585.67
632,Suburb,2005,304455.9919
633,Rural,1964,171955.1048
634,Suburb,2008,175119.2094
635,Suburb,2006,273977.796
636,Urban,1980,133660.821
637,Suburb,2018,276587.1871
638,Urban,1963,199265.5522
639,Suburb,1971,133679.2662
640,Rural,1996,187289.1844
641,Urban,1991,195380.2522
642,Urban,2020,290467.5266
643,Urban,2010,125993.0727
644,Urban,1954,164864.4865
645,Rural,1973,271131.696
646,Urban,1963,272401.7092
647,Urban,1997,214623.9275
648,Rural,1964,270288.2488
649,Suburb,1977,263720.9017
650,Rural,1982,343733.4613
651,Suburb,1996,386973.6452
652,Urban,2000,232462.4527
653,Urban,2005,246644.1789
654,Suburb,2015,136921.115
655,Urban,2003,265746.5808
656,Rural,1950,118967.6919
657,Rural,1962,225775.6619
658,Rural,2004,291978.295
659,Suburb,1993,261283.9964
660,Suburb,2003,240942.6385
661,Suburb,2016,216203.9181
662,Urban,1998,132355.8167
663,Suburb,2019,228079.1135
664,Rural,1958,148489.5122
665,Suburb,1992,150462.6418
666,Rural,2014,226047.2322
667,Urban,2013,115706.6153
668,Suburb,1988,270138.5971
669,Rural,1986,200589.0288
670,Rural,1975,258865.2603
671,Suburb,1983,296494.3701
672,Urban,1985,122490.162
673,Suburb,1995,115202.9372
674,Urban,2013,341637.3346
675,Rural,1975,202351.3572
676,Suburb,1959,303105.4891
677,Suburb,1980,311183.9181
678,Rural,2007,149038.0072
679,Urban,1977,270736.4958
680,Suburb,1984,263493.2456
681,Suburb,2006,324176.9426
682,Suburb,1969,337269.8823
683,Urban,1985,249808.3089
684,Rural,2012,240370.0119
685,Rural,2019,316311.3312
686,Rural,1993,301656.1735
687,Urban,1962,245823.7901
688,Urban,1982,260271.792
689,Rural,1999,223081.9974
690,Suburb,1994,133643.3552
691,Urban,2004,235473.2569
692,Rural,1999,152462.4993
693,Rural,2001,255989.5046
694,Suburb,1996,326470.3364
695,Suburb,1992,218502.8588
696,Urban,1959,202684.7731
697,Urban,1997,159563.6275
698,Rural,2017,167817.1467
699,Urban,2004,328340.9622
700,Suburb,1991,206542.456
701,Urban,1980,254673.6548
702,Urban,1979,301490.2158
703,Urban,2019,211224.0441
704,Urban,1956,345220.8055
705,Suburb,1981,103848.3609
706,Urban,1991,254537.2983
707,Suburb,1975,352850.7854
708,Urban,1961,173719.7958
709,Rural,1963,197888.1079
710,Urban,1990,265276.146
711,Suburb,1992,338456.4114
712,Suburb,1979,260643.2185
713,Rural,1958,304034.3857
714,Rural,1969,287191.8106
715,Suburb,2017,270580.7139
716,Suburb,1974,252500.319
717,Urban,1952,371294.7232
718,Suburb,1986,257401.5989
719,Suburb,1977,284904.8023
720,Rural,2009,211770.317
721,Suburb,2009,286856.5217
722,Rural,1969,175101.1149
723,Urban,2018,261717.1541
724,Rural,1957,192111.8457
725,Urban,2021,287287.6099
726,Rural,1981,255596.0405
727,Rural,1973,288403.4882
728,Urban,1974,185248.1657
729,Suburb,1969,209782.439
730,Rural,2002,215865.8501
731,Suburb,1970,174158.9943
732,Suburb,1978,80169.25806
733,Suburb,2011,197440.8406
734,Urban,2021,138311.8452
735,Rural,1983,272553.041
736,Rural,1996,150367.9726
737,Suburb,1991,267944.9275
738,Rural,1958,192499.1385
739,Suburb,1985,154703.878
740,Urban,1956,132670.1551
741,Urban,2016,143155.4263
742,Rural,1983,297645.455
743,Suburb,2005,246920.2648
744,Urban,1986,230264.155
745,Rural,2019,328545.8605
746,Suburb,2004,270556.7002
747,Suburb,1985,275162.445
748,Rural,1959,185514.4835
749,Suburb,1990,149130.0897
750,Rural,2000,214095.0543
751,Rural,1954,290060.3012
752,Urban,1986,149000.2886
753,Urban,2006,267485.9013
754,Rural,1978,190984.0085
755,Suburb,2005,329138.6056
756,Urban,1980,216085.7816
757,Suburb,2001,298584.9525
758,Rural,1962,295605.4559
759,Rural,1978,220667.1374
760,Suburb,2007,224202.0858
761,Urban,1977,103169.8308
762,Urban,1980,241772.0661
763,Urban,1996,305954.6495
764,Urban,2014,152222.3212
765,Suburb,2009,239857.8712
766,Urban,1979,284245.9416
767,Suburb,2017,214463.7133
768,Urban,2021,172054.1111
769,Urban,2003,233840.6934
770,Suburb,2013,240334.6245
771,Suburb,1961,143838.1454
772,Suburb,1961,231149.5345
773,Rural,2005,57693.11513
774,Suburb,1968,314396.5661
775,Rural,1985,269266.9776
776,Suburb,1963,246523.6998
777,Suburb,1953,192436.586
778,Suburb,1954,214298.2896
779,Rural,1991,151148.942
780,Rural,2009,241160.6364
781,Rural,1986,211510.3411
782,Suburb,1980,230251.8348
783,Suburb,2006,228944.8623
784,Rural,2001,272997.6016
785,Rural,1992,71057.43729
786,Suburb,2004,138738.9011
787,Urban,1958,306800.5025
788,Rural,2001,221433.4259
789,Suburb,2002,260065.9184
790,Urban,1982,193685.5175
791,Urban,1951,253164.409
792,Rural,1972,260611.245
793,Suburb,1965,191111.8036
794,Suburb,1997,236979.2652
795,Rural,1953,142709.2132
796,Rural,1974,90595.44336
797,Suburb,2017,232944.4192
798,Urban,2016,208320.6549
799,Rural,1988,170587.7009
800,Suburb,1971,185462.1006
801,Urban,2009,119379.4066
802,Urban,1985,304423.6713
803,Urban,1998,240869.4072
804,Urban,1982,212119.8415
805,Urban,1968,201291.2716
806,Suburb,2020,283949.7947
807,Suburb,1955,237898.5328
808,Urban,1977,218263.0783
809,Suburb,2014,222996.2008
810,Suburb,1963,148993.2512
811,Suburb,1961,239641.318
812,Rural,2008,226598.7975
813,Urban,2020,229393.3072
814,Urban,1957,145356.129
815,Suburb,1959,218497.7985
816,Suburb,2019,111367.2386
817,Suburb,1997,205937.965
818,Rural,2003,319363.7892
819,Rural,1999,321563.4071
820,Urban,1996,319101.4752
821,Urban,1978,205614.3883
822,Rural,1958,266521.9274
823,Rural,2015,129901.8308
824,Rural,2018,246504.0111
825,Urban,2003,82999.51438
826,Urban,1965,207232.5313
827,Urban,1957,135032.7139
828,Suburb,1971,296655.1868
829,Urban,1964,259611.2173
830,Suburb,1977,154224.8555
831,Urban,1978,184167.6828
832,Urban,1981,128511.6401
833,Urban,1965,199376.2226
834,Suburb,1982,305463.2842
835,Rural,1985,230947.2624
836,Suburb,1988,199698.2994
837,Urban,1999,196146.7513
838,Rural,2017,274487.713
839,Suburb,1963,185033.5073
840,Rural,1988,222984.3723
841,Suburb,2020,208334.574
842,Rural,1969,254289.7302
843,Urban,1999,247007.8117
844,Suburb,1988,189607.3232
845,Suburb,1957,188387.2147
846,Suburb,1979,217927.1091
847,Rural,1969,211264.2477
848,Urban,1977,193911.8587
849,Urban,2019,260737.6152
850,Urban,2003,277508.1068
851,Suburb,1969,288139.644
852,Suburb,1972,310818.2997
853,Rural,1988,144823.8783
854,Suburb,1983,216479.2312
855,Urban,1971,208194.2387
856,Suburb,2006,253265.0377
857,Urban,1996,244006.2115
858,Urban,1967,186245.8283
859,Rural,1957,273339.0777
860,Urban,2010,145806.9779
861,Urban,1979,132414.1776
862,Rural,1998,380654.635
863,Urban,2021,82162.27558
864,Rural,2012,213976.8596
865,Suburb,1998,225675.3304
866,Suburb,1992,253719.6213
867,Suburb,1966,206099.4251
868,Urban,2021,233693.1751
869,Suburb,1992,41630.73904
870,Suburb,2004,249052.4281
871,Suburb,2011,184231.2031
872,Rural,1971,308213.883
873,Urban,1966,57095.7206
874,Urban,2017,182389.1946
875,Rural,1969,217331.8816
876,Urban,1978,350242.8684
877,Urban,1995,289191.5055
878,Suburb,1963,243496.6582
879,Suburb,1980,208749.0633
880,Urban,1980,267005.919
881,Rural,1952,105488.0908
882,Rural,1971,269844.1607
883,Suburb,2002,238840.5723
884,Suburb,2003,206852.1296
885,Urban,1976,92241.80582
886,Rural,1981,133711.2318
887,Rural,1980,363943.3169
888,Suburb,1988,254325.5338
889,Rural,2011,115580.6156
890,Rural,2006,315570.8548
891,Suburb,2016,290504.4188
892,Rural,2011,192190.8709
893,Suburb,1982,204042.4833
894,Rural,2009,227730.1345
895,Suburb,1979,315812.0094
896,Urban,1962,235355.1438
897,Rural,1969,266445.0245
898,Rural,2021,373582.458
899,Urban,1957,146532.8736
900,Rural,1970,141658.6807
901,Suburb,1962,311639.1474
902,Rural,1979,200989.2947
903,Urban,1998,284763.6398
904,Suburb,2007,229455.1042
905,Suburb,1995,253040.8346
906,Rural,1951,153895.9379
907,Urban,1968,340000.5337
908,Rural,1976,154491.0061
909,Rural,1956,194760.3606
910,Rural,1999,206783.2537
911,Urban,2002,253978.8048
912,Suburb,1990,234623.9359
913,Urban,1961,177596.2016
914,Urban,1966,244735.0645
