id,SquareFeet,Bedrooms,Bathrooms
433,1687,2,1
434,1459,3,2
435,1954,5,2
436,2906,4,1
437,1469,3,3
438,2398,3,1
439,2045,2,1
440,1749,2,3
441,2693,4,1
442,1037,2,2
443,1229,3,2
444,2388,3,3
445,1562,5,1
446,1437,3,2
447,2799,4,1
448,2306,5,3
449,1026,2,2
450,1225,5,3
451,2300,3,1
452,1797,4,1
453,2632,2,1
454,1283,2,3
455,1878,3,2
456,1959,4,3
457,2504,3,2
458,1452,3,1
459,2019,4,1
460,2852,3,3
461,1815,4,2
462,1658,4,1
463,2539,3,1
464,1546,3,3
465,2215,5,3
466,2072,2,2
467,2535,2,1
468,1016,4,2
469,2195,5,2
470,2243,4,2
471,1157,5,3
472,1476,4,2
473,2069,2,2
474,2396,5,2
475,1517,3,3
476,1098,3,3
477,2915,2,1
478,2768,5,3
479,2060,3,3
480,1279,3,2
481,2372,3,1
482,1496,2,3
483,1301,4,1
484,1180,3,2
485,1606,3,3
486,2122,4,2
487,1699,3,2
488,1992,5,1
489,2139,3,3
490,1190,4,1
491,1252,2,2
492,1980,2,3
493,1927,5,2
494,2184,3,1
495,2279,3,1
496,2346,4,2
497,1127,4,1
498,1017,5,1
499,2816,5,2
500,2758,3,3
501,1565,3,3
502,1569,5,3
503,2346,2,2
504,2895,2,2
505,1685,2,1
506,2815,2,3
507,1625,5,1
508,2311,4,2
509,2966,2,3
510,1853,5,2
511,2686,2,1
512,1961,3,1
513,2662,2,2
514,1154,5,2
515,1489,3,3
516,2409,3,2
517,1784,2,1
518,2127,2,1
519,2952,3,2
520,2416,4,2
521,2834,5,3
522,1245,5,1
523,2199,5,1
524,2062,5,1
525,2500,5,2
526,2705,3,1
527,1758,5,2
528,1537,4,3
529,2890,4,2
530,2841,2,3
531,1920,2,3
532,1407,2,2
533,1524,2,3
534,1827,3,2
535,2529,4,1
536,1902,3,2
537,2848,4,3
538,1035,3,3
539,1684,4,1
540,1019,2,2
541,1320,4,1
542,2799,2,3
543,1511,4,2
544,1399,3,3
545,1653,5,2
546,1971,4,1
547,2906,3,1
548,1470,5,3
549,2166,3,1
550,2115,5,1
551,2377,2,3
552,1833,4,3
553,2823,3,3
554,1726,4,2
555,2982,2,3
556,1853,2,2
557,1050,4,3
558,2688,3,2
559,2721,3,3
560,1574,3,2
561,2213,4,1
562,2148,3,3
563,1149,3,3
564,1313,5,2
565,1569,3,1
566,2365,2,1
567,1304,3,2
568,2715,4,3
569,1681,4,1
570,1837,3,3
571,2806,4,2
572,2077,4,3
573,2002,3,1
574,1443,5,2
575,1612,5,1
576,1992,5,3
577,1263,5,3
578,2076,2,2
579,2595,3,1
580,2003,4,1
581,2643,4,1
582,1004,3,2
583,2126,4,3
584,2219,2,3
585,1773,5,3
586,1876,3,1
587,1991,4,2
588,1883,2,1
589,2373,4,2
590,1046,2,1
591,1866,4,2
592,1822,5,1
593,1935,3,1
594,2843,5,2
595,1655,5,3
596,1268,4,3
597,1369,5,2
598,1635,3,2
599,2129,2,3
600,2693,2,1
601,2682,4,3
602,1656,3,2
603,1119,3,1
604,1830,2,2
605,2810,2,3
606,2627,5,1
607,2081,4,3
608,2974,2,3
609,2369,2,3
610,1740,3,1
611,2497,3,3
612,1116,3,1
613,2853,2,3
614,1790,4,3
615,2150,5,2
616,2416,4,3
617,2931,2,1
618,2012,5,2
619,2664,4,1
620,2081,2,3
621,1633,4,2
622,1512,2,2
623,2774,3,2
624,1801,4,1
625,2119,3,2
626,2661,3,2
627,2141,5,1
628,1559,5,1
629,2624,4,1
630,1487,2,3
631,2260,5,1
632,2908,5,1
633,1896,3,2
634,2295,3,3
635,2212,2,2
636,1703,5,1
637,2470,5,1
638,1580,2,2
639,1789,5,3
640,1860,4,3
641,1246,4,2
642,2986,2,1
643,2099,3,3
644,1153,2,3
645,2679,4,2
646,2458,5,3
647,1996,5,1
648,2109,3,2
649,1696,3,3
650,2308,4,1
651,2997,3,1
652,2243,2,2
653,2092,4,2
654,2070,5,1
655,2008,5,1
656,1093,5,3
657,2773,3,3
658,1957,4,3
659,2011,3,3
660,1452,2,3
661,2227,4,2
662,1911,3,3
663,1217,5,3
664,1473,5,3
665,1431,2,1
666,1340,2,3
667,1550,2,2
668,2635,5,1
669,2312,3,1
670,2277,5,3
671,2757,5,1
672,1356,5,3
673,1022,3,3
674,2785,5,3
675,1521,2,2
676,2781,2,1
677,2860,2,1
678,2123,2,1
679,1801,5,1
680,2203,5,1
681,2246,5,3
682,2929,2,3
683,1761,3,3
684,2682,4,2
685,1441,4,2
686,2631,4,2
687,1768,3,2
688,2015,5,1
689,2348,4,2
690,1515,4,1
691,2039,5,1
692,1791,4,1
693,1335,5,3
694,2782,4,3
695,1257,5,1
696,1496,2,2
697,1895,3,1
698,1159,4,3
699,2498,5,2
700,1851,2,3
701,2687,5,2
702,2931,4,3
703,1689,4,1
704,2698,4,3
705,1379,4,2
706,2568,4,3
707,2952,2,2
708,1956,5,3
709,1690,5,3
710,2450,4,1
711,2636,5,2
712,2291,2,2
713,2858,4,1
714,2600,3,3
715,2440,2,2
716,2191,4,2
717,2865,5,2
718,2066,2,1
719,2579,4,1
720,1284,5,2
721,1396,5,3
722,1011,4,3
723,2630,2,1
724,2325,4,3
725,2921,4,1
726,2276,4,2
727,1498,4,2
728,1753,4,2
729,1034,5,1
730,1726,4,3
731,1848,2,2
732,1089,3,3
733,1775,4,3
734,1604,2,1
735,2945,3,1
736,1969,2,3
737,2625,5,3
738,2021,5,2
739,1417,3,2
740,1114,3,2
741,1616,3,3
742,2926,5,1
743,2219,5,3
744,1825,2,2
745,2524,5,2
746,2649,3,1
747,2516,4,3
748,2098,4,2
749,1412,3,1
750,2399,5,2
751,2443,3,1
752,1728,5,3
753,2300,4,1
754,2020,2,3
755,1760,5,3
756,1675,2,2
757,2417,4,3
758,2892,2,2
759,1456,2,2
760,1919,3,3
761,1191,2,1
762,1738,4,3
763,2712,5,3
764,2122,2,1
765,2571,5,2
766,1977,3,2
767,2008,4,3
768,1095,4,1
769,2687,5,1
770,1662,4,1
771,2213,3,1
772,2759,5,3
773,1036,4,3
774,2803,3,2
775,2392,3,1
776,2718,2,3
777,2548,4,3
778,1278,5,1
779,1216,2,1
780,1866,5,2
781,1872,2,1
782,2821,3,2
783,2296,2,2
784,2904,2,1
785,1061,2,1
786,1595,4,3
787,2903,2,1
788,1728,3,1
789,2365,5,2
790,1396,4,1
791,1698,3,3
792,2042,4,3
793,1176,5,1
794,2635,5,1
795,1395,5,2
796,1444,4,1
797,2256,4,2
798,2938,5,1
799,1075,5,2
800,1264,3,3
801,1454,5,1
802,2819,2,1
803,1717,4,2
804,1734,3,2
805,2407,4,1
806,2587,5,2
807,1850,2,1
808,2529,5,3
809,2390,4,2
810,1143,3,1
811,1884,4,3
812,2092,3,1
813,2122,2,1
814,1395,5,3
815,2048,5,2
816,1947,2,3
817,1890,4,1
818,2492,2,3
819,2507,5,1
820,2588,3,3
821,2174,5,2
822,2167,4,3
823,1568,3,3
824,2062,4,2
825,1108,5,1
826,2716,5,3
827,2065,3,1
828,2209,4,3
829,1934,3,2
830,1397,3,3
831,2246,4,1
832,1633,3,1
833,2156,2,2
834,2186,3,1
835,2238,5,2
836,1732,4,2
837,1234,5,1
838,2866,2,1
839,1657,2,2
840,1750,3,1
841,1587,5,2
842,2032,3,3
843,2097,3,1
844,1953,5,1
845,1491,2,2
846,1912,2,3
847,2276,2,3
848,2253,4,1
849,2542,4,2
850,2197,3,2
851,2676,4,1
852,2191,4,3
853,1169,5,2
854,2416,3,2
855,1945,3,1
856,1794,5,1
857,1633,2,3
858,2217,5,3
859,2540,2,2
860,1028,3,1
861,2188,3,1
862,2445,4,1
863,1338,4,3
864,2671,5,3
865,2519,4,2
866,2388,3,1
867,2856,3,3
868,2365,2,1
869,1499,4,3
870,2680,2,1
871,1510,3,2
872,2350,4,3
873,1216,2,3
874,2324,3,2
875,2155,2,2
876,2827,4,1
877,2093,2,3
878,2275,2,1
879,2438,3,1
880,2810,4,1
881,1444,5,3
882,1875,5,2
883,2205,2,1
884,1166,3,3
885,1090,4,1
886,1713,3,2
887,2881,4,2
888,2554,3,3
889,1038,5,3
890,2149,5,2
891,2474,5,3
892,1172,3,2
893,1652,3,1
894,1753,2,2
895,2243,5,1
896,2661,2,3
897,2081,3,1
898,2683,4,2
899,1475,5,3
900,1455,5,3
901,1828,5,2
902,1894,5,3
903,2384,5,2
904,2958,3,1
905,2024,5,1
906,1386,5,3
907,2996,2,2
908,1347,4,2
909,1189,5,1
910,1504,2,1
911,2214,3,3
912,2531,2,2
913,2392,5,3
914,2432,2,3
915,1823,2,3
916,1928,3,2
917,1933,2,1
918,2140,3,2
919,1133,3,2
920,1057,2,2
921,2579,5,3
922,1684,4,3
923,1671,2,2
924,1172,2,3
925,2852,2,3
926,1814,4,1
927,2172,4,2
928,1079,3,2
929,1885,4,3
930,2236,4,2
931,1202,2,2
932,1763,3,2
933,2252,5,2
934,2699,3,3
935,2250,4,1
936,2682,4,3
937,2555,2,1
938,2464,5,2
939,2425,5,2
940,1046,5,2
941,2256,4,2
942,2328,4,2
943,2549,3,2
944,2166,4,2
945,2438,5,1
946,2536,5,3
947,2396,5,2
948,2589,2,2
949,2909,3,2
950,2282,3,1
951,1655,4,2
952,1470,2,3
953,2976,3,1
954,1970,2,1
955,2035,2,2
956,2353,4,1
957,1735,2,2
958,1783,3,3
959,1967,4,3
960,1357,3,1
961,1971,2,1
962,2431,2,2
963,1667,5,1
964,1372,4,3
965,2031,4,1
966,2145,5,3
967,2371,3,2
968,1675,3,3
969,1089,2,1
970,2671,4,3
971,1697,2,3
972,2339,5,1
973,2201,2,2
974,1539,3,3
975,1731,3,1
976,1868,5,3
977,1040,3,3
978,1739,5,3
979,2727,4,2
980,2946,5,3
981,1501,5,1
982,1958,5,1
983,2168,3,3
984,2224,4,2
985,1928,2,1
986,2747,4,2
987,1460,3,2
988,1731,4,1
989,1751,4,1
990,1924,5,2
991,1908,5,3
992,2581,3,2
993,2570,5,1
994,2276,3,2
995,1389,2,1
996,2617,4,3
997,1882,2,3
998,1255,2,3
999,1708,4,3
1000,2838,5,3
1001,2944,2,1
1002,1449,4,2
1003,1009,2,3
1004,1823,2,1
1005,1797,4,2
1006,2265,5,2
1007,2274,3,3
1008,1876,4,3
1009,2028,3,2
1010,2142,4,2
1011,2015,4,1
1012,2824,3,3
1013,1373,3,2
1014,2088,5,2
1015,1145,4,3
1016,1223,4,1
1017,2262,4,1
1018,1176,5,3
1019,2802,3,1
1020,1852,4,1
1021,2305,3,1
1022,1062,5,2
1023,2240,2,2
1024,2877,3,1
1025,1826,5,3
1026,1794,2,3
1027,1688,4,3
1028,2484,4,1
1029,2952,3,3
1030,2633,2,2
1031,1104,5,3
1032,2122,4,3
1033,1510,4,2
1034,1384,2,2
1035,1404,5,1
1036,1822,4,1
1037,1517,4,1
1038,1475,3,1
1039,1708,5,1
1040,2886,4,2
1041,2668,2,2
1042,2893,4,2
1043,1770,5,3
1044,2460,3,3
1045,2046,4,3
1046,1996,2,1
1047,2588,4,3
1048,1676,2,1
1049,1713,5,1
1050,2481,3,1
1051,1082,5,1
1052,2168,4,3
1053,2108,4,2
1054,2101,3,1
1055,1456,2,3
1056,2901,5,1
1057,1000,2,1
1058,1050,4,2
1059,1684,2,1
1060,1716,5,2
1061,2795,2,3
1062,2469,4,1
1063,1448,5,2
1064,1880,2,1
1065,1487,2,1
1066,2823,5,1
1067,1033,4,2
1068,2371,5,3
1069,1094,4,2
1070,2095,2,3
1071,2574,5,2
1072,1153,4,2
1073,1249,5,3
1074,1673,2,3
1075,1437,5,3
1076,1117,2,2
1077,1770,2,3
1078,2914,2,1
1079,2329,4,1
1080,1267,4,1
1081,2984,3,1
1082,2077,4,3
1083,1235,3,3
1084,1388,5,1
1085,1989,2,3
1086,2757,4,1
1087,1762,2,2
1088,2848,3,3
1089,1400,4,2
1090,1623,4,3
1091,1766,4,3
1092,2326,4,3
1093,1918,2,2
1094,2230,4,2
1095,2252,3,1
1096,1852,4,2
1097,2933,3,2
1098,1577,3,1
1099,1074,2,2
1100,1434,4,2
1101,1102,3,1
1102,2445,4,2
1103,2727,2,1
1104,1763,2,3
1105,1737,4,3
1106,1805,3,2
1107,2329,5,3
1108,1097,5,2
1109,2873,2,1
1110,1797,3,1
1111,2358,5,1
1112,1858,3,3
1113,1434,4,1
1114,1446,2,1
1115,2331,4,2
1116,1248,4,2
1117,1165,4,2
1118,2504,3,2
1119,1983,5,1
1120,2358,4,2
1121,2019,2,3
1122,1541,3,3
1123,1758,5,3
1124,2129,4,2
1125,2586,2,1
1126,1080,4,2
1127,1132,5,3
1128,1796,5,2
1129,1899,4,3
1130,1137,4,1
1131,1183,3,1
1132,2424,5,1
1133,2353,5,1
1134,1784,4,1
1135,2531,2,2
1136,2875,4,1
1137,1983,4,2
1138,1068,5,3
1139,1545,3,3
1140,2797,4,1
1141,1052,2,2
1142,2473,2,1
1143,1204,4,3
1144,1125,2,2
1145,2770,2,3
1146,1042,4,2
1147,2775,2,3
1148,2994,2,1
1149,2906,4,1
1150,1110,5,1
1151,1760,3,3
1152,2686,3,3
1153,2206,5,3
1154,1847,4,1
1155,1094,5,3
1156,2994,3,3
1157,2397,3,1
1158,2935,3,3
1159,2543,3,2
1160,1899,4,3
1161,1359,3,1
1162,1899,3,2
1163,2719,4,1
1164,1280,5,1
1165,2218,4,1
1166,2887,3,2
1167,2218,2,2
1168,1666,4,1
1169,1092,4,3
1170,1671,5,2
1171,2969,3,1
1172,1060,2,3
1173,1633,4,1
1174,2074,4,2
1175,2426,4,2
1176,2812,2,3
1177,2028,4,2
1178,2489,4,1
1179,1603,2,1
1180,1681,4,3
1181,2852,2,3
1182,1533,5,3
1183,2428,2,3
1184,1837,5,1
1185,2536,2,1
1186,1644,3,1
1187,1232,4,1
1188,1523,5,3
1189,1345,4,2
1190,2069,4,1
1191,1545,2,2
1192,2968,3,3
1193,2101,2,3
1194,2753,4,2
1195,2836,2,3
1196,2946,5,2
1197,2096,3,1
1198,1793,4,3
1199,1248,2,3
1200,1046,5,2
1201,2144,3,2
1202,1213,2,2
1203,1238,2,2
1204,2079,4,2
1205,1349,5,3
1206,1106,3,2
1207,1830,2,1
1208,1047,3,2
1209,2596,5,3
1210,1336,4,1
1211,2049,4,3
1212,1803,4,2
1213,2280,3,3
1214,1007,3,3
1215,1624,2,2
1216,2890,5,3
1217,2276,5,3
1218,2715,5,3
1219,1718,3,1
1220,1302,4,3
1221,1638,5,2
1222,1055,2,2
1223,1725,3,3
1224,1525,4,2
1225,1473,5,1
1226,1027,4,2
1227,1077,2,2
1228,2239,5,3
1229,2409,5,1
1230,1364,4,1
1231,1665,3,2
1232,1525,4,2
1233,1698,2,3
1234,2335,4,3
1235,1882,4,1
1236,2030,5,3
1237,2026,3,1
1238,2646,3,1
1239,1918,3,2
1240,1749,3,1
1241,1362,4,1
1242,2774,5,1
1243,2531,5,1
1244,2297,3,2
1245,2529,4,3
1246,1805,3,3
1247,1738,3,1
1248,2906,5,3
1249,2038,5,3
1250,2215,3,1
1251,2654,4,1
1252,1484,3,3
1253,1027,5,2
1254,1713,5,3
1255,2062,4,1
1256,2976,3,3
1257,2296,3,3
1258,2254,2,2
1259,1085,3,3
1260,2497,4,3
1261,1125,5,1
1262,1811,2,2
1263,1536,4,3
1264,1144,4,3
1265,2548,2,1
1266,2235,3,1
1267,1024,2,2
1268,2603,4,2
1269,2417,3,2
1270,1066,5,1
1271,1232,2,1
1272,1108,4,1
1273,2169,3,1
1274,1110,4,2
1275,1227,3,2
1276,1110,3,2
1277,2493,2,1
1278,1033,5,1
1279,1622,3,1
1280,2799,4,1
1281,2959,3,3
1282,2392,5,2
1283,1747,4,2
1284,1594,3,3
1285,2577,3,2
1286,1424,2,1
1287,1612,5,2
1288,2541,3,1
1289,1691,5,1
1290,2305,3,1
1291,2343,4,3
1292,2761,5,2
1293,2466,4,1
1294,2975,5,2
1295,1314,4,3
1296,1876,3,2
1297,2989,4,2
1298,2764,4,2
1299,2400,3,2
1300,2312,5,3
1301,2460,4,2
1302,1661,2,1
1303,1276,2,3
1304,2733,4,2
1305,2605,4,2
1306,2526,4,1
1307,1623,5,3
1308,1515,3,3
1309,2373,2,1
1310,1842,2,2
1311,2469,5,2
1312,2853,4,3
1313,1349,4,3
1314,2630,3,2
1315,2687,3,1
1316,1822,2,1
1317,2160,3,2
1318,1758,2,1
1319,1898,5,3
1320,1242,4,2
1321,1542,4,1
1322,2063,2,1
1323,1228,4,3
1324,1547,5,3
1325,1919,3,2
1326,2246,5,3
1327,1005,4,3
1328,2345,5,2
1329,1467,4,1
1330,2755,2,3
1331,1074,3,2
1332,1003,3,3
1333,2870,4,3
1334,1645,4,1
1335,1117,3,3
1336,1880,5,3
1337,2629,5,3
1338,1503,5,1
1339,1946,3,3
1340,1573,2,2
1341,2464,4,2
1342,1193,4,1
1343,1846,3,1
1344,1714,2,1
1345,2415,3,3
1346,2049,5,1
1347,2458,5,2
1348,1172,4,2
1349,2323,4,3
1350,2668,4,3
1351,1325,4,3
1352,2433,5,3
1353,2141,5,2
1354,1835,2,2
1355,2810,4,1
1356,1723,3,3
1357,1224,2,2
1358,1531,2,2
1359,1112,5,1
1360,1139,4,2
1361,1558,2,2
1362,1000,4,3
1363,1089,5,1
1364,1653,2,3
1365,1319,2,3
1366,2573,3,1
1367,2828,5,1
1368,2917,3,3
1369,1138,5,3
1370,2534,3,3
1371,2891,5,3
1372,1844,5,1
1373,1258,2,2
1374,2696,3,1
1375,1901,3,2
1376,1689,3,1
1377,1009,2,3
1378,1260,4,2
1379,2942,5,1
1380,2673,3,1
1381,1171,5,1
1382,1897,2,3
1383,1012,5,1
1384,2191,2,1
1385,2665,4,3
1386,2619,3,2
1387,1320,2,2
1388,2342,5,3
1389,2636,2,2
1390,1328,2,1
1391,1784,4,1
1392,1776,3,2
1393,2994,2,2
1394,1910,2,2
1395,2943,5,3
1396,2573,2,2
1397,2442,2,3
1398,2629,3,2
1399,2118,3,3
1400,2840,5,3
1401,2604,2,1
1402,1317,2,2
1403,2979,2,1
1404,1235,4,1
1405,2969,4,3
1406,1333,5,3
1407,2908,4,3
1408,1375,5,3
1409,2482,2,1
1410,2160,4,3
1411,2953,3,1
1412,1587,4,1
1413,2570,2,2
1414,1512,3,2
1415,2319,5,3
1416,2343,2,1
1417,1917,3,1
1418,2595,4,1
1419,2855,5,2
1420,2372,4,1
1421,2863,3,1
1422,2802,3,1
1423,1872,2,2
1424,2252,5,3
1425,1269,5,3
1426,2851,3,3
1427,1797,2,2
1428,2314,3,2
1429,1724,3,3
1430,2188,5,3
1431,1004,4,2
1432,1850,4,3
1433,2402,5,1
1434,1077,2,2
1435,2433,5,3
1436,1573,2,3
1437,1131,5,2
1438,1600,2,2
1439,2772,3,1
1440,2065,3,2
1441,1088,2,2
1442,1401,5,1
1443,1295,3,3
1444,2863,5,2
1445,2318,4,3
1446,1615,3,1
1447,2549,5,2
1448,1799,5,1
1449,2714,4,3
1450,2660,5,1
1451,1421,2,2
1452,2888,3,2
1453,2046,2,3
1454,1574,4,3
1455,1142,2,3
1456,1992,5,3
1457,1664,4,2
1458,1144,4,2
1459,2248,2,2
1460,2006,4,1
1461,1502,2,1
1462,2985,2,3
1463,2997,2,3
1464,1820,4,3
1465,2639,4,2
1466,1103,3,1
1467,2970,2,3
1468,2062,2,3
1469,2970,2,2
1470,1197,2,1
1471,2669,2,3
1472,1578,2,3
1473,1390,2,3
1474,2202,3,3
1475,2991,3,1
1476,1553,5,1
1477,2471,2,3
1478,2523,2,2
1479,2038,3,3
1480,2646,3,2
1481,2692,2,3
1482,2312,2,3
1483,1477,3,2
1484,2254,3,3
1485,1922,5,1
1486,1419,5,2
1487,1156,2,1
1488,1549,3,2
1489,2464,5,1
1490,2120,2,3
1491,2020,5,3
1492,1996,5,2
1493,2434,5,1
1494,1950,4,3
1495,1288,2,1
